"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1860357754235277340","Sat Nov 23 16:20:27 +0000 2024","6904","Two of the most electorally successful center-left parties in the Western world among working-class non-college-educated voters post-COVID are Mexico's led by AMLO and Claudia Sheinbaum and Brazil's under Lula -- and in the United States we barely talk about their strategies. https://t.co/RaCPeDFyhK","1860357754235277340","https://pbs.twimg.com/media/GdFRVSoW4AAToGy.jpg","","en","","178","336","1032","https://x.com/_waleedshahid/status/1860357754235277340","329115426","_waleedshahid"
"1861151374299295958","Mon Nov 25 20:54:00 +0000 2024","491","Claudia piensa que se mudó a un mundo feliz cuando en realidad se mudó al rancho del Clan Manson. https://t.co/zACwsU0HPY","1861151374299295958","https://pbs.twimg.com/media/GdQjTxxWkAAbGeU.jpg","","es","Córdoba, Argentina","2","23","54","https://x.com/LeoAchilli/status/1861151374299295958","3981910168","LeoAchilli"
"1860787090557989024","Sun Nov 24 20:46:28 +0000 2024","317","Hace 6 años AMLO envió su primer presupuesto. Como es usual los diputados de MORENA dijeron lo analizaremos con atención y haremos los ajustes necesarios . AMLO les dijo no le muevan ni una coma y ninguna coma se movió. Claudia envió su presupuesto. Se lo van a cambiar.","1860787090557989024","","","es","Wallisellen, CH","0","8","66","https://x.com/avestruzeterea/status/1860787090557989024","341656610","avestruzeterea"
"1860501897637167136","Sun Nov 24 01:53:13 +0000 2024","1875","Crees en los resultados de esta casilla? Así hay muchas (si bien no sé cuántas exactamente). Habrá ganado Claudia probablemente pero no con los resultados oficiales y lo mismo en el Congreso. https://t.co/UNwIuaeHHz","1860501897637167136","https://pbs.twimg.com/media/GdHUndWbQAADNhg.jpg","","es","","26","78","1079","https://x.com/JACrespo1/status/1860501897637167136","1363739047","JACrespo1"
"1860742373740892605","Sun Nov 24 17:48:47 +0000 2024","3388","La presidenta municipal de Amanalco es de Morena con ésto @Claudiashein la presienta manda un claro mensaje: NO HAY IMPUNIDAD PARA NADIE NI PARA LOS DE SU PROPIO PARTIDO. Así que vayan miendole el agua a los tamales todos porque en pueblo se cansa de tanta pinche tranza https://t.co/wPvtKthdwt","1860742373740892605","https://pbs.twimg.com/ext_tw_video_thumb/1860742290064486400/pu/img/S3L2CulwjlKwkptM.jpg","","es","Atizapán de Zaragoza, México","19","139","1091","https://x.com/Brenn0505/status/1860742373740892605","717807689208705024","Brenn0505"
"1860379282289438724","Sat Nov 23 17:45:59 +0000 2024","821","Ella verdaderamente dijo: no vuelvo a perder otra final y lo cumplió! Masterclasses de la jefa Claudia Carrion https://t.co/OG1Qswiggo","1860379282289438724","https://pbs.twimg.com/media/GdFlGU7agAIcaXb.jpg","","es","","2","18","12","https://x.com/_calvoneta/status/1860379282289438724","1309993178968199168","_calvoneta"
"1860356407532400820","Sat Nov 23 16:15:05 +0000 2024","1","El sueño de AMLO y Claudia ","1860356407532400820","","","es","México","0","0","0","https://x.com/vacadelmal/status/1860356407532400820","45079697","vacadelmal"
"1860724155412595096","Sun Nov 24 16:36:23 +0000 2024","662"," Al despertar Guadalupe Samsa una mañana tras un sueño intranquilo se encontró en su cama convertido en un monstruoso insecto que no era de izquierda ni derecha . La Metamorfosis del #FrenteAmplio https://t.co/xUlzglEiDO","1860724155412595096","https://pbs.twimg.com/media/GdKeiuVbEAAjsFS.jpg","","es","","8","56","301","https://x.com/ZuritaCarpio/status/1860724155412595096","62664348","ZuritaCarpio"
"1860779212312920310","Sun Nov 24 20:15:10 +0000 2024","742","URRACA DE CLOACA ASESINA LADRONA MATA NIÑOS ASQUEROSO SEMISER MAL PARIO FUNDAMENTALISTA TALIBANA CATOLICORRA TOSIGOSA FOLLA PRIMOS. COLGABLE POR COLLAR DE PERLAS VENENOSAS https://t.co/nmUFpe0ol5","1860779212312920310","https://pbs.twimg.com/ext_tw_video_thumb/1860778484047454208/pu/img/_LS2vDXhj1Uqh2YM.jpg","","es","Nafarroa/Navarra","6","7","95","https://x.com/antolinpulido1/status/1860779212312920310","988015157250060288","antolinpulido1"
"1859928655985885205","Fri Nov 22 11:55:22 +0000 2024","222","Pacto de Silencio hiciste voh Camila Flores @Cami_FloresO y todas las mujeres de derecha para rechazar la petición de reemplazo de la diputada Marcela Bulnes por su cáncer hoy falleció https://t.co/dRQd2jfFAx","1859928655985885205","https://pbs.twimg.com/media/Gc_LQDIWoAANB6U.jpg","","es","Chile","3","4","149","https://x.com/ejopia/status/1859928655985885205","10307062","ejopia"
